artist,song,chart_year
Olivia Rodrigo,Drivers License,2021
Ariana Grande,34+35,2021
Lil Tjay Featuring 6LACK,Calling My Phone,2021
The Weeknd,Blinding Lights,2021
Cardi B,Up,2021
The Weeknd,Save Your Tears,2021
24kGoldn Featuring iann dior,Mood,2021
Chris Brown & Young Thug,Go Crazy,2021
Dua Lipa Featuring DaBaby,Levitating,2021
Ariana Grande,Positions,2021
Taylor Swift,Love Story (Taylor's Version),2021
Pop Smoke,What You Know Bout Love,2021
Billie Eilish,Therefore I Am,2021
Pop Smoke Featuring Lil Baby & DaBaby,For The Night,2021
CJ,Whoopty,2021
Pooh Shiesty Featuring Lil Durk,Back In Blood,2021
Justin Bieber Featuring Chance The Rapper,Holy,2021
SZA,Good Days,2021
Gabby Barrett Featuring Charlie Puth,I Hope,2021
Luke Combs,Better Together,2021
Bad Bunny & Jhay Cortez,Dakiti,2021
Justin Bieber & benny blanco,Lonely,2021
Tate McRae,You Broke Me First.,2021
Yung Bleu Featuring Drake,You're Mines Still,2021
Taylor Swift,Willow,2021
Megan Thee Stallion,Body,2021
Doja Cat,Streets,2021
Justin Bieber,Anyone,2021
Machine Gun Kelly X blackbear,My Ex's Best Friend,2021
BRS Kash,Throat Baby (Go Baby),2021
AJR,Bang!,2021
Lil Baby,On Me,2021
Lewis Capaldi,Before You Go,2021
Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,2021
Niko Moon,Good Time,2021
Drake Featuring Lil Durk,Laugh Now Cry Later,2021
Chris Stapleton,Starting Over,2021
Saweetie Featuring Doja Cat,Best Friend,2021
Ritt Momney,Put Your Records On,2021
Parmalee x Blanco Brown,Just The Way,2021
Megan Thee Stallion Featuring DaBaby,Cry Baby,2021
Darius Rucker,Beers And Sunshine,2021
The Kid LAROI,Without You,2021
H.E.R.,Damage,2021
BTS,Dynamite,2021
Luke Bryan,Down To One,2021
Erica Banks,Buss It,2021
Florida Georgia Line,Long Live,2021
Dua Lipa,We're Good,2021
Moneybagg Yo,Time Today,2021
Nipsey Hussle & JAY-Z,What It Feels Like,2021
Kelsea Ballerini,Hole In The Bottle,2021
Morgan Wallen,Wasted On You,2021
SpotemGottem,Beat Box,2021
Gabby Barrett,The Good Ones,2021
Thomas Rhett,What's Your Country Song,2021
Morgan Wallen,Sand In My Boots,2021
Harry Styles,Golden,2021
All Time Low Featuring Demi Lovato & blackbear ,Monsters,2021
Travis Scott & HVME,Goosebumps,2021
Ava Max,My Head And My Heart,2021
Jack Harlow,Tyler Herro,2021
Brett Young,Lady,2021
Glass Animals,Heat Waves,2021
Ed Sheeran,Afterglow,2021
Luke Combs,Forever After All,2021
Black Eyed Peas X Shakira,Girl Like Me,2021
Masked Wolf,Astronaut In The Ocean,2021
Bad Bunny & ROSALIA,La Noche de Anoche,2021
Coi Leray,No More Parties,2021
Morgan Wallen,Somebody's Problem,2021
Dustin Lynch,Momma's House,2021
Eric Church,Hell Of A View,2021
Giveon,Heartbreak Anniversary,2021
Pooh Shiesty Featuring BIG30,Neighbors,2021
Jason Derulo Featuring Adam Levine,Lifestyle,2021
The Kid LAROI,So Done,2021
Tenille Arts,Somebody Like That,2021
Lil Durk Featuring Lil Baby,Finesse Out The Gang Way,2021
DaBaby,Masterpiece,2021
DDG,Moonwalking In Calabasas,2021
Myke Towers & Juhn,Bandido,2021
Kenny Chesney,Happy Does,2021
Morgan Wallen,Cover Me Up,2021
VEDO,You Got It,2021
Keith Urban Duet With P!nk,One Too Many,2021
Lil Durk & King Von,Still Trappin',2021
Jazmine Sullivan,Pick Up Your Feelings,2021
Chris Lane,"Big, Big Plans",2021
Future & Lil Uzi Vert,Drankin N Smokin,2021
Shawn Mendes & Justin Bieber,Monster,2021
Karol G,Bichota,2021
Dan + Shay,Glad You Exist,2021
Morray,Quicksand,2021
Giveon,Like I Want You,2021
Jordan Davis,Almost Maybes,2021
Saweetie Featuring Jhene Aiko,Back To The Streets,2021
Juice WRLD & Young Thug,Bad Boy,2021
YBN Nahmir Featuring 21 Savage,Opp Stoppa,2021
Rascal Flatts,How They Remember You,2021
